 Bin concentration:
   1      0.1000E+01
   2      0.1000E+01
   3      0.1000E+01
   4      0.1000E+01
   5      0.1000E+01
 Size distribution:
   #        radius   dV/dlnr(1:nbins)
   1     0.0381076   0.2552458E-01   0.9850293E-04   0.3235094E-07   0.4258954E-09   0.3994071E-16
   2     0.0436507   0.6898583E-01   0.4894474E-03   0.2955485E-06   0.2421603E-08   0.4049456E-15
   3     0.0500000   0.1603896E+00   0.2092082E-02   0.2322657E-05   0.1278983E-07   0.3813674E-14
   4     0.0572729   0.3207801E+00   0.7692463E-02   0.1570203E-04   0.6274614E-07   0.3336152E-13
   5     0.0656037   0.5518929E+00   0.2433148E-01   0.9131524E-04   0.2859380E-06   0.2710908E-12
   6     0.0751462   0.8168030E+00   0.6620447E-01   0.4568208E-03   0.1210370E-05   0.2046173E-11
   7     0.0860768   0.1039908E+01   0.1549602E+00   0.1965906E-02   0.4759097E-05   0.1434603E-10
   8     0.0985974   0.1138907E+01   0.3120108E+00   0.7277735E-02   0.1738178E-04   0.9342965E-10
   9     0.1129391   0.1072993E+01   0.5404234E+00   0.2317634E-01   0.5896914E-04   0.5651934E-09
  10     0.1293670   0.8696027E+00   0.8052191E+00   0.6349055E-01   0.1858306E-03   0.3175939E-08
  11     0.1481844   0.6062620E+00   0.1032070E+01   0.1496195E+00   0.5439649E-03   0.1657712E-07
  12     0.1697390   0.3635926E+00   0.1137941E+01   0.3033074E+00   0.1479060E-02   0.8037240E-07
  13     0.1944289   0.1875794E+00   0.1079309E+01   0.5289237E+00   0.3735621E-02   0.3619645E-06
  14     0.2227101   0.8324740E-01   0.8806170E+00   0.7934483E+00   0.8763979E-02   0.1514214E-05
  15     0.2551050   0.3178130E-01   0.6180788E+00   0.1023904E+01   0.1909858E-01   0.5883963E-05
  16     0.2922119   0.1043730E-01   0.3731780E+00   0.1136621E+01   0.3866003E-01   0.2123799E-04
  17     0.3347165   0.2948626E-02   0.1938221E+00   0.1085394E+01   0.7269179E-01   0.7120638E-04
  18     0.3834036   0.7165826E-03   0.8659770E-01   0.8916087E+00   0.1269608E+00   0.2217617E-03
  19     0.4391726   0.1498059E-03   0.3328314E-01   0.6300522E+00   0.2059756E+00   0.6415274E-03
  20     0.5030537   0.2694055E-04   0.1100420E-01   0.3829961E+00   0.3104011E+00   0.1723873E-02
  21     0.5762268   0.4167729E-05   0.3129727E-02   0.2002753E+00   0.4345026E+00   0.4302858E-02
  22     0.6600434   0.5546351E-06   0.7657217E-03   0.9008986E-01   0.5649669E+00   0.9976315E-02
  23     0.7560518   0.6349394E-07   0.1611577E-03   0.3486101E-01   0.6823624E+00   0.2148549E-01
  24     0.8660254   0.6252753E-08   0.2917739E-04   0.1160430E-01   0.7655415E+00   0.4298147E-01
  25     0.9919956   0.5296952E-09   0.4544190E-05   0.3322870E-02   0.7977815E+00   0.7986915E-01
  26     1.1362890   0.3860082E-10   0.6088111E-06   0.8185094E-03   0.7722549E+00   0.1378601E+00
  27     1.3015711   0.2419815E-11   0.7016565E-07   0.1734400E-03   0.6943828E+00   0.2210342E+00
  28     1.4908948   0.1304913E-12   0.6956344E-08   0.3161470E-04   0.5799609E+00   0.3291865E+00
  29     1.7077570   0.6053368E-14   0.5932700E-09   0.4957312E-05   0.4499457E+00   0.4553927E+00
  30     1.9561635   0.2415636E-15   0.4352500E-10   0.6686782E-06   0.3242522E+00   0.5851828E+00
  31     2.2407026   0.8292350E-17   0.2746903E-11   0.7758975E-07   0.2170538E+00   0.6984874E+00
  32     2.5666304   0.2448717E-18   0.1491287E-12   0.7744718E-08   0.1349626E+00   0.7744390E+00
  33     2.9399667   0.6220371E-20   0.6964567E-14   0.6650028E-09   0.7795084E-01   0.7975857E+00
  34     3.3676078   0.1359280E-21   0.2797968E-15   0.4911976E-10   0.4182054E-01   0.7630078E+00
  35     3.8574524   0.2555160E-23   0.9669513E-17   0.3121085E-11   0.2084109E-01   0.6780195E+00
  36     4.4185486   0.4131828E-25   0.2874659E-18   0.1705961E-12   0.9647454E-02   0.5596506E+00
  37     5.0612612   0.0000000E+00   0.7351594E-20   0.8021367E-14   0.4148262E-02   0.4290948E+00
  38     5.7974610   0.0000000E+00   0.1617304E-21   0.3244449E-15   0.1656842E-02   0.3055983E+00
  39     6.6407461   0.0000000E+00   0.3060694E-23   0.1128895E-16   0.6146927E-03   0.2021671E+00
  40     7.6066942   0.0000000E+00   0.4982624E-25   0.3378917E-18   0.2118344E-03   0.1242314E+00
  41     8.7131472   0.0000000E+00   0.0000000E+00   0.8699980E-20   0.6781038E-04   0.7091105E-01
  42     9.9805431   0.0000000E+00   0.0000000E+00   0.1926958E-21   0.2016308E-04   0.3759737E-01
  43    11.4322910   0.0000000E+00   0.0000000E+00   0.3671494E-23   0.5569029E-05   0.1851667E-01
  44    13.0952044   0.0000000E+00   0.0000000E+00   0.6017716E-25   0.1428778E-05   0.8470920E-02
  45    15.0000048   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.3404946E-06   0.3599636E-02
dlnr =   0.1358044
cv:                        0.99677         0.99999         1.00000         1.00000         0.99946
Lognormal size distribution parameters for precomputed bins:
   #         cv     rv(um)  ln(sigma)
   1    1.00000    0.10000    0.35000
   2    1.00000    0.17320    0.35000
   3    1.00000    0.30000    0.35000
   4    1.00000    1.00000    0.50000
   5    1.00000    2.90000    0.50000
